Place,Latitude,Longitude,Weight,Team,Content,Comments,Related,Type,Negative,Postive,Neutral,Topographical features,Topographical features (general)
Troy,39.957500,26.238889,1,Negative,"""I now must change 
Those notes to tragic; foul distrust, and breach 
Disloyal on the part of Man, revolt, 
And disobedience: on the part of Heaven 
Now alienated, distance and distaste, 
Anger and just rebuke, and judgment given, 
That brought into this world a world of woe, 
Sin and her shadow Death, and Misery 
Death's harbinger: Sad talk, yet argument 
Not less but more heroic than the wrath 
Of stern Achilles on his foe pursued 
Thrice fugitive about Troy wall; or rage 
Of Turnus for Lavinia disespoused; 
Or Neptune's ire, or Juno's, that so long 
Perplexed the Greek, and Cytherea's son:
If answerable style I can obtain 
Of my celestial patroness, who deigns 
Her nightly visitation unimplored, 
And dictates to me slumbering; or inspires 
Easy my unpremeditated verse: 
Since first this subject for heroic song 
Pleased me long choosing, and beginning late; 
Not sedulous by nature to indite 
Wars, hitherto the only argument 
Heroic deemed chief mastery to dissect 
With long and tedious havoc fabled knights 
In battles feigned; the better fortitude 
Of patience and heroic martyrdom 
Unsung; or to describe races and games, 
Or tilting furniture, imblazoned shields, 
Impresses quaint, caparisons and steeds, 
Bases and tinsel trappings, gorgeous knights 
At joust and tournament; then marshaled feast 
Served up in hall with sewers and seneschals; 
The skill of artifice or office mean, 
Not that which justly gives heroic name 
To person, or to poem."" (9.5-41) [negative]","Achilles' pursuit of Hector around the walls of Troy stands by synecdoche for the Iliad of Homer, whose argument is compared with disadvantage to Milton's Christian theme. ",snine,,1,0,0,region,region
Cronian Sea,90.000000,0.000000,1,Neutral,"""Then both from out Hell-gates, into the waste 
Wide anarchy of Chaos, damp and dark, 
Flew diverse; and with power (their power was great) 
Hovering upon the waters, what they [Death and Sin] met 
Solid or slimy, as in raging sea 
Tossed up and down, together crowded drove, 
From each side shoaling towards the mouth of Hell; 
As when two polar winds, blowing adverse 
Upon the Cronian sea, together drive 
Mountains of ice, that stop the imagined way 
Beyond Petsora eastward, to the rich 
Cathaian coast."" (10.282-293) [negative]",The Arctic Ocean: connected to the fabled northeast passage to Siberia. Associated with the formation by Sin and Death of a way from Hell's gate to Earth. ,fthree,,0,0,1,ocean,water
Petsora,65.700000,52.466667,1,Neutral,"""Then both from out Hell-gates, into the waste 
Wide anarchy of Chaos, damp and dark, 
Flew diverse; and with power (their power was great) 
Hovering upon the waters, what they [Death and Sin] met 
Solid or slimy, as in raging sea 
Tossed up and down, together crowded drove, 
From each side shoaling towards the mouth of Hell; 
As when two polar winds, blowing adverse 
Upon the Cronian sea, together drive 
Mountains of ice, that stop the imagined way 
Beyond Petsora eastward, to the rich 
Cathaian coast."" (10.282-293) [negative]",River in Northern Russia connected to the fabled northeast passage to Siberia. Associated with the formation by Sin and Death of a way from Hell's gate to Earth.,fthree,,0,0,1,river,water
Cathay,35.000000,103.000000,2,Neutral,"""Then both from out Hell-gates, into the waste 
Wide anarchy of Chaos, damp and dark, 
Flew diverse; and with power (their power was great) 
Hovering upon the waters, what they [Death and Sin] met 
Solid or slimy, as in raging sea 
Tossed up and down, together crowded drove, 
From each side shoaling towards the mouth of Hell; 
As when two polar winds, blowing adverse 
Upon the Cronian sea, together drive 
Mountains of ice, that stop the imagined way 
Beyond Petsora eastward, to the rich 
Cathaian coast."" (10.282-293) [negative] / ""To whom thus Adam gratefully replied. 
Ascend, I follow thee, safe Guide, the path 
Thou leadest me; and to the hand of Heaven submit, 
However chastening; to the evil turn 
My obvious breast; arming to overcome 
By suffering, and earn rest from labor won, 
If so I may attain. So both ascend 
In the visions of God. It was a hill, 
Of Paradise the highest; from whose top 
The hemisphere of earth, in clearest ken, 
Stretched out to the amplest reach of prospect lay. 
Not higher that hill, nor wider looking round, 
Whereon, for different cause, the Tempter set 
Our second Adam, in the wilderness; 
To show him all Earth's kingdoms, and their glory. 
His eye might there command wherever stood 
City of old or modern fame, the seat 
Of mightiest empire, from the destined walls 
Of Cambalu, seat of Cathaian Can, 
And Samarchand by Oxus, Temir's throne, 
To Paquin of Sinaean kings; and thence 
To Agra and Lahor of great Mogul, 
Down to the golden Chersonese; or where 
The Persian in Ecbatan sat, or since 
In Hispahan; or where the Russian Czar 
In Moscow; or the Sultan in Bizance, 
Turkestan-born; nor could his eye not ken 
The empire of Negus to his utmost port 
Ercoco, and the less maritime kings 
Mombaza, and Quiloa, and Melind, 
And Sofala, thought Ophir, to the realm 
Of Congo, and Angola farthest south; 
Or thence from Niger flood to Atlas mount 
The kingdoms of Almansor, Fez and Sus, 
Morocco, and Algiers, and Tremisen; 
On Europe thence, and where Rome was to sway 
The world: in spirit perhaps he also saw 
Rich Mexico, the seat of Montezuma, 
And Cusco in Peru, the richer seat 
Of Atabalipa; and yet unspoiled 
Guiana, whose great city Geryon's sons 
Call El Dorado."" (11.370-411) [neutral]","Cathay, an empire in Northern China and the goal of the northeast passage. Evoked here in assocation with the formation by Sin and Death of a way from Hell's gate to Earth.",fthree,,0,0,2,region,region
Delos,37.393333,25.271111,2,Negative,"""The aggregated soil 
Death with his mace petrific, cold and dry, 
As with a trident, smote; and fixed as firm 
As Delos, floating once; the rest his look 
Bound with Gorgonian rigor not to move; 
And with asphaltic slime, broad as the gate, 
Deep to the roots of Hell the gathered beach 
They fastened, and the mole immense wrought on 
Over the foaming deep high-arched, a bridge 
Of length prodigious, joining to the wall 
Immoveable of this now fenceless world, 
Forfeit to Death; from hence a passage broad, 
Smooth, easy, inoffensive, down to Hell."" (10.293-305) [negative] / ""As when by night the glass 
Of Galileo, less assured, observes 
Imagined lands and regions in the moon: 
Or pilot, from amidst the Cyclades 
Delos or Samos first appearing, kens 
A cloudy spot. Down thither prone in flight 
He [Raphael] speeds, and through the vast ethereal sky 
Sails between worlds and worlds, with steady wing 
Now on the polar winds, then with quick fan 
Winnows the buxom air; till, within soar 
Of towering eagles, to all the fowls he seems 
A phoenix, gazed by all as that sole bird, 
When, to enshrine his relics in the sun's 
Bright temple, to Egyptian Thebes he flies."" (5.261-274) [neutral]","Floating Mediterranean island of Greek mythology, center of Cyclades and birthplace of Apollo and Artemis, but later anchored by Zeus, as Death's mace fixed the bridge to Hell. / Greek island; home of Pythagoras (perhaps relevant in context of stellar observation and navigation).",fthfour / sfive,,1,0,1,island,island
Susa,32.190556,48.257778,1,Neutral,"""So, if great things to small may be compared, 
Xerxes, the liberty of Greece to yoke, 
From Susa, his Memnonian palace high, 
Came to the sea: and, over Hellespont 
Bridging his way, Europe with Asia joined, 
And scourged with many a stroke the indignant waves."" (10.306-311) [neutral]",Winter seat of Persian kings.,ffour,,0,0,1,region,region
Astracan,46.323611,48.036667,1,Neutral,"""There kept their watch the legions, while the Grand 
In council sat, solicitous what chance 
Might intercept their emperor sent; so he 
Departing gave command, and they observed. 
As when the Tartar from his Russian foe, 
By Astracan, over the snowy plains, 
Retires; or Bactrin Sophi, from the horns 
Of Turkish crescent, leaves all waste beyond 
The realm of Aladule, in his retreat 
To Taurus or Casbeen: So these, the late 
Heaven-banished host, left desert utmost Hell 
Many a dark league, reduced in careful watch 
Round their metropolis; and now expecting 
Each hour their great adventurer, from the search 
Of foreign worlds"" (10.427-441) [neutral]","""Tartar khanate and capital near the mouth of the Volga, often mentioned in Milton's Muscovia"" (Fowler). Site of imperial military retreats evoked in association with Satan's legions.",ffive,,0,0,1,region,region
Tauris,38.066667,46.300000,1,Neutral,"""There kept their watch the legions, while the Grand 
In council sat, solicitous what chance 
Might intercept their emperor sent; so he 
Departing gave command, and they observed. 
As when the Tartar from his Russian foe, 
By Astracan, over the snowy plains, 
Retires; or Bactrin Sophi, from the horns 
Of Turkish crescent, leaves all waste beyond 
The realm of Aladule, in his retreat 
To Taurus or Casbeen: So these, the late 
Heaven-banished host, left desert utmost Hell 
Many a dark league, reduced in careful watch 
Round their metropolis; and now expecting 
Each hour their great adventurer, from the search 
Of foreign worlds"" (10.427-441) [neutral]",Former Persian capital of Tabriz. Site of imperial military retreats evoked in association with Satan's legions.,ffive,,0,0,1,region,region
Casbeen,36.266667,50.000000,1,Neutral,"""There kept their watch the legions, while the Grand 
In council sat, solicitous what chance 
Might intercept their emperor sent; so he 
Departing gave command, and they observed. 
As when the Tartar from his Russian foe, 
By Astracan, over the snowy plains, 
Retires; or Bactrin Sophi, from the horns 
Of Turkish crescent, leaves all waste beyond 
The realm of Aladule, in his retreat 
To Taurus or Casbeen: So these, the late 
Heaven-banished host, left desert utmost Hell 
Many a dark league, reduced in careful watch 
Round their metropolis; and now expecting 
Each hour their great adventurer, from the search 
Of foreign worlds"" (10.427-441) [neutral]",Former Persian capital Kasvin. Site of imperial military retreats evoked in association with Satan's legions.,ffive,,0,0,1,region,region
Pythian vale,38.483333,22.500000,1,Negative,""" Dreadful was the din 
Of hissing through the hall, thick swarming now 
With complicated monsters head and tail, 
Scorpion, and Asp, and Amphisbaena dire, 
Cerastes horned, Hydrus, and Elops drear, 
And Dipsas; (not so thick swarmed once the soil 
Bedropt with blood of Gorgon, or the isle 
Ophiusa,) but still greatest he the midst, 
Now Dragon grown, larger than whom the sun 
Ingendered in the Pythian vale or slime, 
Huge Python, and his power no less he seemed 
Above the rest still to retain"" (10.521-532) [neutral]","Delphi, where Apollo slew the great serpent Python. Evoked in connection with the fallen angels' abasing transformation into snakes.",fsix,M,1,0,0,region,region
Butiminous Lake,31.500000,35.500000,1,Negative,"""Their [Satan and his army] penance, laden with fair fruit, like that 
Which grew in Paradise, the bait of Eve 
Used by the tempter: on that prospect strange 
Their earnest eyes they fixed, imagining 
For one forbidden tree a multitude 
Now risen, to work them further woe or shame; 
Yet, parched with scalding thirst and hunger fierce, 
Though to delude them sent, could not abstain; 
But on they rolled in heaps, and, up the trees 
Climbing, sat thicker than the snaky locks 
That curled Megaera: greedily they plucked 
The fruitage fair to sight, like that which grew 
Near that bituminous lake where Sodom flamed; 
This more delusive, not the touch, but taste 
Deceived; they, fondly thinking to allay 
Their appetite with gust, instead of fruit 
Chewed bitter ashes, which the offended taste 
With spattering noise rejected: oft they assayed, 
Hunger and thirst constraining; drugged as oft, 
With hatefullest disrelish writhed their jaws, 
With soot and cinders filled; so oft they fell 
Into the same illusion, not as man 
Whom they triumphed once lapsed."" (10.550-572) [negative]","The Dead Sea; site of the ancient city of Sodom, whose fruit trees when harvested yielded ashes and smoke.",fseven,M,1,0,0,sea,water
Barca,32.498333,20.892778,1,Neutral,"""For hot, cold, moist, and dry, four champions fierce,

Strive here for mastery, and to battle bring

Their embryon atoms: they around the flag

Of each his faction, in their several clans,

Light-armed or heavy, sharp, smooth, swift, or slow,

Swarm populous, unnumbered as the sands

Of Barca or Cyrene's torrid soil,

Levied to side with warring winds, and poise

Their lighter wings."" (2.898-906) [neutral]","An ancient desert city whose setting among ""unnumbered"" sands evokes the profusion of atoms in chaos.",tfour,,0,0,1,region,region
Egypt,26.000000,30.000000,12,Negative,"""A passage down to the Earth, a passage wide, 
Wider by far than that of after-times 
Over mount Sion, and, though that were large, 
Over the Promised Land to God so dear; 
By which, to visit oft those happy tribes, 
On high behests his angels to and fro 
Passed frequent, and his eye with choice regard 
From Paneas, the fount of Jordan's flood, 
To Beersaba, where the Holy Land 
Borders on Egypt and the Arabian shore"" (3.528-537) [positive] / ""Not Babylon, 
Nor great Alcairo such magnificence 
Equaled in all their glories, to inshrine 
Belus or Serapis their gods, or seat 
Their kings, when Egypt with Assyria strove 
In wealth and luxury."" (1.717-722) [negative] / ""With these came they, who from the bordering flood
Of old Euphrates to the brook that parts
Egypt from Syrian ground, had general names
Of Baalim and Ashtaroth, those male,
These feminine."" (1.419-423) [negative] / ""After these appeared 
A crew who under names of old renown, 
Osiris, Isis, Orus and their train 
With monstrous shapes and sorceries abused 
Fanatic Egypt and her priests, to seek 
Their wandering gods disguised in brutish forms 
Rather then human."" (1.476-482) [negative] / ""Nor did Israel escape
The infection [of idol worship] when their borrowed gold composed
The calf in Oreb: and the rebel king
Doubled that sin in Bethel and in Dan,
Likening his Maker to the grazed ox,
Jehovah, who in one night when he passed
From Egypt marching, equaled with one stroke
Both her first born and all her bleating gods."" (1.482-489) [negative] /""Not Babylon, 
Nor great Alcairo such magnificence 
Equaled in all their glories, to inshrine 
Belus or Serapis their gods, or seat 
Their kings, when Egypt with Assyria strove 
In wealth and luxury"" (1.717-722) [negative] /""A passage down to the Earth, a passage wide, 
Wider by far than that of after-times 
Over mount Sion, and, though that were large, 
Over the Promised Land to God so dear; 
By which, to visit oft those happy tribes, 
On high behests his angels to and fro 
Passed frequent, and his eye with choice regard 
From Paneas, the fount of Jordan's flood, 
To Beersaba, where the Holy Land 
Borders on Egypt and the Arabian shore"" (5.) [positive] / "" Now gentle gales, 
Fanning their odoriferous wings, dispense 
Native perfumes, and whisper whence they stole 
Those balmy spoils. As when to them who fail 
Beyond the Cape of Hope, and now are past 
Mozambique, off at sea north-east winds blow 
Sabean odors from the spicy shore 
Of Araby the blest; with such delay 
Well pleased they slack their course, and many a league 
Cheered with the grateful smell old Ocean smiles: 
So entertained those odorous sweets the Fiend, 
Who came their bane; though with them better pleased 
Than Asmodeus with the fishy fume 
That drove him, though enamored, from the spouse 
Of Tobit's son, and with a vengeance sent 
From Media post to Egypt, there fast bound."" (4.154-169) [neutral] / ""As when by night the glass 
Of Galileo, less assured, observes 
Imagined lands and regions in the moon: 
Or pilot, from amidst the Cyclades 
Delos or Samos first appearing, kens 
A cloudy spot. Down thither prone in flight 
He [Raphael] speeds, and through the vast ethereal sky 
Sails between worlds and worlds, with steady wing 
Now on the polar winds, then with quick fan 
Winnows the buxom air; till, within soar 
Of towering eagles, to all the fowls he seems 
A phoenix, gazed by all as that sole bird, 
When, to enshrine his relics in the sun's 
Bright temple, to Egyptian Thebes he flies."" (5.261-274) [neutral] / ""In a dark age, against example good,
Against allurement, custom, and a world
Offended: fearless of reproach and scorn,
The grand-child, with twelve sons increased, departs
From Canaan, to a land hereafter called
Egypt, divided by the river Nile;
See where it flows, disgorging at seven mouths
Into the sea"" (11.809-11.816) [neutral] / ""...the lawless tyrant, who denies 
To know their God, or message to regard, 
Must be compelled by signs and judgments dire; 
To blood unshed the rivers must be turned; 
Frogs, lice, and flies, must all his palace fill 
With loathed intrusion, and fill all the land; 
His cattle must of rot and murren die; 
Botches and blains must all his flesh emboss, 
And all his people; thunder mixed with hail, 
Hail mixed with fire, must rend the Egyptians sky, 
And wheel on the earth, devouring where it rolls; 
What it devours not, herb, or fruit, or grain, 
A darksome cloud of locusts swarming down 
Must eat, and on the ground leave nothing green; 
Darkness must overshadow all his bounds, 
Palpable darkness, and blot out three days; 
Last, with one midnight stroke, all the first-born 
Of Egypt must lie dead."" (12.173-190) [negative] / ""The race elect 
Safe toward Canaan from the shore advance 
Through the wild Desert, not the readiest way; 
Lest, entering on the Canaanite alarmed, 
War terrify them inexpert, and fear 
Return them back to Egypt, choosing rather 
Inglorious life with servitude; for life 
To noble and ignoble is more sweet 
Untrained in arms, where rashness leads not on."" (12.214-222) [negative]",Associated with impious Pharaoh. / Associated with the worship of pagan zoomorphic gods. / Associated with corrupting luxury and wealth. / Associated with the wrath of Jehovah killing all the first-borns. / Demarcates border of the Holy Land.,nine/ tnine,B,7,1,4,region,region
Sion (hill),28.539722,33.973333,4,Positive,"""Of man’s first disobedience, and the fruit 
Of that forbidden tree, whose mortal taste 
Brought death into the world, and all our woe, 
With loss of Eden, till one greater man 
Restore us, and regain the blissful seat, 
Sing heavenly muse, that on the secret top 
Of Oreb, or of Sinai, didst inspire 
That shepherd, who first taught the chosen seed, 
In the beginning how the heavens and earth 
Rose out of chaos: Or if Sion hill 
Delight thee more, and Siloa's brook that flowed 
Fast by the oracle of God"" (1.1-12) [positive]/ ""Say, Muse, their names then known, who first, who last, 
Roused from the slumber, on that fiery couch, 
At their great emperor’s call, as next in worth 
Came singly where he stood on the bare strand, 
While the promiscuous crowd stood yet aloof? 
The chief were those who from the pit of Hell 
Roaming to seek their prey on Earth, durst fix 
Their seats long after next the seat of God, 
Their altars by his altar, gods adored 
Among the nations round, and durst abide 
Jehovah thundering out of Sion, throned 
Between the cherubim; yea, often placed 
Within his sanctuary it self their shrines, 
Abominations; and with cursed things 
His holy rites, and solemn feasts profaned,] 
And with their darkness durst affront his light."" (1.376-391) [positive] / ""Yet not the more 
Cease I to wander, where the Muses haunt, 
Clear spring, or shady grove, or sunny hill, 
Smit with the love of sacred song; but chief 
Thee, Sion, and the flowery brooks beneath, 
That wash thy hallowed feet, and warbling flow, 
Nightly I visit: nor sometimes forget 
So were I equaled with them in renown, 
Thy sovereign command, that man should find grace; 
Blind Thamyris, and blind Maeonides, 
And Tiresias, and Phineus, prophets old: 
Then feed on thoughts, that voluntary move 
Harmonious numbers; as the wakeful bird 
Sings darkling, and in shadiest covert hid 
Tunes her nocturnal note."" (3.26-40) [positive] / ""The stairs were then let down, whether to dare 
The Fiend by easy ascent, or aggravate 
His sad exclusion from the doors of bliss: 
Direct against which opened from beneath, 
Just o'er the blissful seat of Paradise, 
A passage down to the Earth, a passage wide, 
Wider by far than that of after-times 
Over mount Sion, and, though that were large, 
Over the Promised Land to God so dear; 
By which, to visit oft those happy tribes, 
On high behests his angels to and fro 
Passed frequent, and his eye with choice regard 
From Paneas, the fount of Jordan's flood, 
To Beersaba, where the Holy Land 
Borders on Egypt and the Arabian shore; 
So wide the opening seemed, where bounds were set 
To darkness, such as bound the ocean wave."" (3.523-539) [positive]","Mount Zion, site of God's appearance to Moses.",one/ tnine,B,0,4,0,hill,mountain
Sion,31.771667,35.229167,2,Negative,"""With these in troop 
Came Astoreth, whom the Phoenicians called 
Astarte, queen of Heaven, with crescent horns; 
To whose bright image nightly by the moon 
Sidonian virgins paid their vows and songs, 
In Sion also not unsung, where stood 
Her temple on the offensive mountain, built 
By that uxorious king, whose heart though large, 
Beguiled by fair idolatresses, fell 
To Idols foul."" (1.438-446) [negative] /""Thammuz came next behind,
Whose annual wound in Lebanon allured
The Syrian damsels to lament his fate
In amorous ditties all a summer’s day,
While smooth Adonis from his native rock
Ran purple to the sea, supposed with blood
Of Thammuz yearly wounded: the love-tale
Infected Sion’s daughters with like heat,
Whose wanton passions in the sacred porch
Ezekiel saw, when by the vision led
His eye surveyed the dark idolatries
Of alienated Judah."" (1.446-457) [negative]",Associated in catalogue of fallen angels with worship of false idols.,twelve,B,2,0,0,region,region
Aonian mount,38.416667,23.083333,1,Positive,"""I thence 
Invoke thy aid to my adventurous song, 
That with no middle flight intends to soar 
Above the Aonian mount, while it pursues 
Things unattempted yet in prose or rhyme."" (1.12-16) [positive]","Mountain in Greece, a haunt of the Muses.",one,M,0,1,0,mountain,mountain
Red Sea (coast),22.000000,38.000000,1,Negative,"""...or scattered sedge 
Afloat, when with fierce winds Orion armed 
Hath vexed the Red Sea coast, whose waves overthrew 
Busiris and his Memphian chivalry, 
While with perfidious hatred they pursued 
The sojourners of Goshen, who beheld 
From the safe shore their floating carcasses 
And broken chariot wheels, so thick bestrown 
Abject and lost lay these, covering the flood, 
Under amazement of their hideous change"" (1.304-313) [negative]","Site of ruin of Pharaoh's army (with which the fallen angels are associated), engufled as they attempt to follow the Hebrews through its parted waters. ",seven,B,1,0,0,region,region
Gath,31.700000,34.847000,1,Negative,"""Next came one
Who mourned in earnest, when the captive Ark
Maimed his brute image, head and hands lopped off
In his own temple, on the grunsel edge,
Where he fell flat, and shamed his worshipers:
Dagon his name, sea monster, upward man
And downward fish: yet had his temple high
Reared in Azotus, dreaded through the coast
Of Palestine, in Gath and Ascalon
And Accaron and Gaza's frontier bounds."" (1.457-466)","Associated with pagan worship, as of Dagon.",fourteen,,1,0,0,region,region
Ascalon,31.666667,34.566667,1,Negative,"""Next came one
Who mourned in earnest, when the captive Ark
Maimed his brute image, head and hands lopped off
In his own temple, on the grunsel edge,
Where he fell flat, and shamed his worshipers:
Dagon his name, sea monster, upward man
And downward fish: yet had his temple high
Reared in Azotus, dreaded through the coast
Of Palestine, in Gath and Ascalon
And Accaron and Gaza's frontier bounds."" (1.457-466) [positive]","Associated with pagan worship, as of Dagon.",fourteen,,1,0,0,region,region
Accaron,31.778890,34.849920,1,Negative,"""Next came one
Who mourned in earnest, when the captive Ark
Maimed his brute image, head and hands lopped off
In his own temple, on the grunsel edge,
Where he fell flat, and shamed his worshipers:
Dagon his name, sea monster, upward man
And downward fish: yet had his temple high
Reared in Azotus, dreaded through the coast
Of Palestine, in Gath and Ascalon
And Accaron and Gaza's frontier bounds."" (1.457-466) [positive]","Associated with pagan worship, as of Dagon.",fourteen,,1,0,0,region,region
Gaza,31.516667,34.450000,1,Negative,"""Next came one
Who mourned in earnest, when the captive Ark
Maimed his brute image, head and hands lopped off
In his own temple, on the grunsel edge,
Where he fell flat, and shamed his worshipers:
Dagon his name, sea monster, upward man
And downward fish: yet had his temple high
Reared in Azotus, dreaded through the coast
Of Palestine, in Gath and Ascalon
And Accaron and Gaza's frontier bounds."" (1.457-466) [positive]","Associated with pagan worship, as of Dagon.",fourteen,,1,0,0,region,region
Golgotha,31.778611,35.229444,1,Positive,"""Here pilgrims roam, that strayed so far to seek 
In Golgotha him dead, who lives in Heaven; 
And they, who to be sure of Paradise, 
Dying, put on the weeds of Dominick, 
Or in Franciscan think to pass disguised"" (3.476-480) [positive]",Place where Jesus was crucified. Mount Golgotha a site of pilgrimage.,teight,,0,0,1,region,region
Paneas,33.248611,35.694444,1,Positive,"""A passage down to the Earth, a passage wide, 
Wider by far than that of after-times 
Over mount Sion, and, though that were large, 
Over the Promised Land to God so dear; 
By which, to visit oft those happy tribes, 
On high behests his angels to and fro 
Passed frequent, and his eye with choice regard 
From Paneas, the fount of Jordan's flood, 
To Beersaba, where the Holy Land 
Borders on Egypt and the Arabian shore"" (3.528-537) [positive]",The northernmost point of the Holy Land (Greek designation of Dan).,tnine,B,0,0,1,region,region
Jordan (river),31.950000,35.933333,2,Positive,"""A passage down to the Earth, a passage wide, 
Wider by far than that of after-times 
Over mount Sion, and, though that were large, 
Over the Promised Land to God so dear; 
By which, to visit oft those happy tribes, 
On high behests his angels to and fro 
Passed frequent, and his eye with choice regard 
From Paneas, the fount of Jordan's flood, 
To Beersaba, where the Holy Land 
Borders on Egypt and the Arabian shore"" (3.528-537) [positive] /""Yet him God the Most High vouchsafes 
To call by vision, from his father's house, 
His kindred, and false Gods, into a land 
Which he will show him; and from him will raise 
A mighty nation; and upon him shower 
His benediction so, that in his seed 
All nations shall be blest: he straight obeys; 
Not knowing to what land, yet firm believes: 
I see him, but thou canst not, with what faith 
He leaves his Gods, his friends, and native soil, 
Ur of Chaldaea, passing now the ford 
To Haran; after him a cumbrous train 
Of herds and flocks, and numerous servitude; 
Not wandering poor, but trusting all his wealth 
With God, who called him, in a land unknown. 
Canaan he now attains; I see his tents 
Pitched about Sechem, and the neighboring plain 
Of Moreh; there by promise he receives 
Gift to his progeny of all that land, 
From Hameth northward to the Desert south; 
(Things by their names I call, though yet unnamed;) 
From Hermon east to the great western Sea; 
Mount Hermon, yonder sea; each place behold 
In prospect, as I point them; on the shore 
Mount Carmel; here, the double-founted stream, 
Jordan, true limit eastward; but his sons 
Shall dwell to Senir, that long ridge of hills. 
This ponder, that all nations of the earth 
Shall in his seed be blessed"" (12.120-148) [neutral]","River of the Holy Land, defining its eastward limit.",tnine /phtwo,B,1,0,1,river,river
Beersaba,31.249772,34.799708,1,Positive,"""A passage down to the Earth, a passage wide, 
Wider by far than that of after-times 
Over mount Sion, and, though that were large, 
Over the Promised Land to God so dear; 
By which, to visit oft those happy tribes, 
On high behests his angels to and fro 
Passed frequent, and his eye with choice regard 
From Paneas, the fount of Jordan's flood, 
To Beersaba, where the Holy Land 
Borders on Egypt and the Arabian shore"" (3.528-537) [positive]",The southernmost point of the Holy Land.,tnine,B,0,0,1,region,region
Seleucia,33.094444,44.522222,1,Positive,"""To all delight of human sense exposed, 
In narrow room, Nature's whole wealth, yea more, 
A Heaven on Earth: For blissful Paradise 
Of God the garden was, by him in the east 
Of Eden planted; Eden stretched her line 
From Auran eastward to the royal towers 
Of great Seleucia, built by Grecian kings, 
Of where the sons of Eden long before 
Dwelt in Telassar"" (4.204-212) [positive]",City near Baghdad on Tigris river. Here referred to as eastern part of Eden with royal towers,stwo,,0,0,1,region,region
Daphne,36.200000,36.150000,1,Positive,"""Not that fair field 
Of Enna, where Proserpine gathering flowers, 
Herself a fairer flower by gloomy Dis 
Was gathered, which cost Ceres all that pain 
To seek her through the world; nor that sweet grove 
Of Daphne by Orontes, and the inspired 
Castalian spring, might with this Paradise 
Of Eden strive"" (4.266-273) [positive]",A grove by the river Orontes whose spring was dedicated to Apollo.,sthree,M,0,0,1,region,region
Orontes,35.250000,36.583333,1,Positive,"""Not that fair field 
Of Enna, where Proserpine gathering flowers, 
Herself a fairer flower by gloomy Dis 
Was gathered, which cost Ceres all that pain 
To seek her through the world; nor that sweet grove 
Of Daphne by Orontes, and the inspired 
Castalian spring, might with this Paradise 
Of Eden strive"" (4.266-273) [positive]",River whose spring was dedicated to Apollo.,sthree,M,0,0,1,river,river
Enna,37.563333,14.276111,1,Positive,"""Not that fair field 
Of Enna, where Proserpine gathering flowers, 
Herself a fairer flower by gloomy Dis 
Was gathered, which cost Ceres all that pain 
To seek her through the world; nor that sweet grove 
Of Daphne by Orontes, and the inspired 
Castalian spring, might with this Paradise 
Of Eden strive"" (4.266-273) [positive]","Site of rape of Proserpina, associated here with Paradise.",sthree,M,0,0,1,region,region
Mount Amara,11.500000,39.316667,1,Positive,"""Nor where Abassin kings their issue guard, 
Mount Amara, though this by some supposed 
True Paradise under the Ethiop line 
By Nilus' head, enclosed with shining rock, 
A whole day's journey high"" (4.278-282) [positive]",A candidate (rejected by Milton) for the terrestrial location of Paradise.,sfour,,0,1,0,mountian,mountian
Ethiop Line,9.030000,38.740000,1,Positive,"""Nor where Abassin kings their issue guard, 
Mount Amara, though this by some supposed 
True Paradise under the Ethiop line 
By Nilus' head, enclosed with shining rock, 
A whole day's journey high"" (4.278-282) [positive]","""Ethiop Line"" denotes the equator.",sfour,,0,1,0,region,region
